trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.95}",20,0,-150.62156376294143,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
2,False,"{'a': 0.9, 'e': 0.8999999999999999}",20,0,-112.75494057134027,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.8499999999999999}",30,0,-238.51518601244044,"{0: 14, 1: 3, 2: 8, 3: 2, 4: 3}",0
4,False,"{'a': 0.9, 'e': 0.7999999999999998}",20,0,-91.16669142704956,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.7499999999999998}",25,0,-99.6435646256704,"{0: 16, 1: 2, 2: 3, 3: 4, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.6999999999999997}",20,1,-90.38184684815417,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.9, 'e': 0.6499999999999997}",20,0,-158.43913898820765,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.9, 'e': 0.5999999999999996}",25,0,-58.55213707531873,"{0: 20, 1: 0, 2: 2, 3: 3, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.5499999999999996}",20,0,-48.14447437994988,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.4999999999999996}",20,5,-33.35839799476045,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.9, 'e': 0.4499999999999996}",20,0,-37.769694319055716,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.39999999999999963}",30,10,-65.12958709870063,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.9, 'e': 0.34999999999999964}",20,0,-1.2337974163360093,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.29999999999999966}",30,10,-33.54898206446427,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.9, 'e': 0.24999999999999967}",25,0,-17.0979776880306,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.19999999999999968}",20,0,-102.12159331657344,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.9, 'e': 0.1499999999999997}",25,12,4.938166428870634,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.09999999999999969}",20,5,1.8669508058071247,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.049999999999999684}",20,0,-31.23406143365108,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.9, 'e': -3.191891195797325e-16}",20,9,18.202374077253197,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,30.043917826595727,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,2,2.50179292876202,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,28.2874399559227,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-20.07878067439846,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,13.57874652635951,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,11,15.026277328031309,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",35,0,-1.4309742558054108,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,3,40.23815913737119,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,27.50507211027059,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,38.28377184430058,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",25,11,-18.367629963172032,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,9,12.966798643782102,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",25,11,25.74005646902046,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",20,0,25.145317322839283,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0.0, 'e': 0.0}",35,0,2.832225482480524,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,True,"{'a': 0.0, 'e': 0.0}",20,1,-26.650191758375318,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,True,"{'a': 0.0, 'e': 0.0}",20,9,9.96776840836772,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
