trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.6967067093471655}",25,0,-121.43584971033685,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.029199522301288815}",20,0,-119.50498850513114,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.7373937155412458}",20,0,-191.4249279803787,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
4,False,"{'a': 0.8, 'e': 0.9982947757947531}",30,0,-162.17361906180065,"{0: 16, 1: 8, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.6536436208636119}",20,0,-75.01846227411443,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.08749898343944729}",25,0,-68.67728407172437,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.7755658785102502}",20,0,-50.602452943738264,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.9931849187581926}",20,0,-32.84609953104,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.6083513145322546}",20,0,-158.20885437063896,"{0: 12, 1: 1, 2: 1, 3: 4, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.14550003380861354}",20,16,8.785908777833395,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.811093014061656}",20,0,-128.99262225278642,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.9846878557941267}",30,9,-119.94059584913872,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 2}",1
13,False,"{'a': 0.8, 'e': 0.5609842574272288}",20,0,-69.72658497120347,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.20300486381875216}",20,4,-43.80678462879673,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.8, 'e': 0.8438539587324921}",25,5,-237.72795142197242,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 5}",1
16,False,"{'a': 0.8, 'e': 0.9728325656974354}",20,0,-121.10164627483455,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
17,False,"{'a': 0.8, 'e': 0.5117039924531475}",20,0,-56.90192147542757,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.25981735621375585}",20,0,-131.82993585891097,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.8737369830110809}",30,1,-91.31311524052482,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 1}",1
20,False,"{'a': 0.8, 'e': 0.9576594803233847}",25,0,-123.80407705547199,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.8, 'e': 0.46067858741136253}",30,0,-150.90589764406076,"{0: 23, 1: 3, 2: 0, 3: 0, 4: 4}",0
22,False,"{'a': 0.8, 'e': 0.31574375491924334}",30,0,-40.03660363816468,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.8, 'e': 0.90064017238477}",20,0,-104.42910198235387,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.8, 'e': 0.9392203466968696}",20,0,-68.39301035743588,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.40808206181339196}",25,0,-77.60701330478516,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
26,False,"{'a': 0.8, 'e': 0.37059332583764143}",30,0,-41.25132688398144,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.9244717749141217}",30,10,-60.292593090940116,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
28,False,"{'a': 0.8, 'e': 0.9175780505318598}",25,0,-64.16430183991211,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
29,False,"{'a': 0.8, 'e': 0.35409379339635566}",25,6,-49.672302829425334,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
