trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-27.374612561609023,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-46.60768756048759,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-58.74480607271027,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-68.93208665424696,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-66.71029738778658,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,10,-5.479717339427159,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,2,-39.49444867625222,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-90.1863519576167,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-84.65914629718843,"{0: 18, 1: 6, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-108.27104068780599,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-18.274092073048354,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-186.7730704947182,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-25.653855851973827,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,10,-12.189226000443735,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-87.80523027226752,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-114.63801862395532,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-79.22180410944836,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-153.5990953314003,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-88.43261954289572,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-111.44564028906443,"{0: 8, 1: 4, 2: 6, 3: 2, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-128.9273481101851,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-189.39770115627235,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-56.2201287025021,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-69.6204631771055,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-87.20100699059623,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-159.02230982342928,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-99.15578310570045,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-53.651582373437165,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-126.82966626131737,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-211.1600473218029,"{0: 13, 1: 7, 2: 7, 3: 0, 4: 3}",0
