trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.99}",30,11,-108.78420874702688,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 1}",1
2,False,"{'a': 0.8, 'e': 0.9801}",20,2,-113.20124720141291,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
3,False,"{'a': 0.8, 'e': 0.9702989999999999}",30,0,-226.66168289686325,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 3}",0
4,False,"{'a': 0.8, 'e': 0.96059601}",35,0,-117.84308451915547,"{0: 22, 1: 6, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9509900498999999}",25,0,-64.9042327411355,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.9414801494009999}",25,0,-72.12449515902127,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.9320653479069899}",30,0,-215.63655979900244,"{0: 16, 1: 6, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.8, 'e': 0.92274469442792}",20,0,-179.807338169526,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 4}",0
9,False,"{'a': 0.8, 'e': 0.9135172474836407}",25,0,-157.04301750348168,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.8, 'e': 0.9043820750088043}",30,0,-292.4922288393837,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 6}",0
11,False,"{'a': 0.8, 'e': 0.8953382542587163}",25,0,-51.06304973050592,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.8863848717161291}",30,0,-145.70278470408215,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.8775210229989678}",30,0,-187.32952871508965,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.8, 'e': 0.8687458127689781}",25,0,-188.8613250342234,"{0: 13, 1: 5, 2: 2, 3: 2, 4: 3}",0
15,False,"{'a': 0.8, 'e': 0.8600583546412883}",25,15,-17.378328708034946,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.8514577710948754}",20,0,-102.41100506139335,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.8, 'e': 0.8429431933839266}",20,2,-4.466283768362437,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.8345137614500874}",20,0,-74.2893685551032,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.8261686238355865}",20,0,-23.962487559255585,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.8179069375972307}",25,4,-106.11672893655269,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 1}",1
21,False,"{'a': 0.8, 'e': 0.8097278682212583}",25,0,-113.95260911125311,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.8, 'e': 0.8016305895390458}",30,21,2.7333603610970343,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.7936142836436553}",20,11,-39.33121850978653,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.7856781408072188}",20,12,12.63425624912896,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.8, 'e': 0.7778213593991465}",30,0,-160.89214995708926,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
26,False,"{'a': 0.8, 'e': 0.7700431458051551}",25,0,-82.15269082586227,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.7623427143471035}",20,0,-92.59857134913669,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.8, 'e': 0.7547192872036325}",20,0,-145.84232314612248,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
29,False,"{'a': 0.8, 'e': 0.7471720943315961}",20,0,-73.4648069141934,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.8, 'e': 0.7397003733882802}",30,0,-180.8434266412918,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
31,False,"{'a': 0.8, 'e': 0.7323033696543974}",20,0,-82.3979528389794,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
32,False,"{'a': 0.8, 'e': 0.7249803359578534}",20,0,-71.54602019064906,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.8, 'e': 0.7177305325982748}",30,21,-7.748822715028499,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.8, 'e': 0.7105532272722921}",30,0,-59.683387932322596,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
35,False,"{'a': 0.8, 'e': 0.7034476949995692}",20,0,-194.08900611892471,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
36,False,"{'a': 0.8, 'e': 0.6964132180495735}",20,3,-81.08940501956192,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 1}",1
37,False,"{'a': 0.8, 'e': 0.6894490858690777}",25,0,-163.07211371123708,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
38,False,"{'a': 0.8, 'e': 0.682554595010387}",20,0,-47.02864226022375,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.8, 'e': 0.6757290490602831}",20,5,-7.121104665917896,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.6689717585696803}",25,0,-169.60752270339785,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
41,False,"{'a': 0.8, 'e': 0.6622820409839835}",25,17,0.6261872336677428,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.6556592205741436}",20,0,-64.0777892186197,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
43,False,"{'a': 0.8, 'e': 0.6491026283684022}",20,3,-37.344436541669204,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.6426116020847181}",20,0,-48.39152977206732,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.8, 'e': 0.6361854860638709}",25,0,-178.01204612664446,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
46,False,"{'a': 0.8, 'e': 0.6298236312032323}",20,0,-120.99004106719805,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
47,False,"{'a': 0.8, 'e': 0.6235253948912}",20,14,0.15554463349034053,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.617290140942288}",25,10,-99.40998601257716,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 2}",1
49,False,"{'a': 0.8, 'e': 0.6111172395328651}",25,0,-33.337400948274265,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.8, 'e': 0.6050060671375365}",35,0,-146.73985102321737,"{0: 25, 1: 2, 2: 3, 3: 3, 4: 2}",0
51,False,"{'a': 0.8, 'e': 0.5989560064661611}",25,12,-3.7813878085612522,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.5929664464014994}",20,0,-105.7450435512569,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.8, 'e': 0.5870367819374844}",20,0,-17.965817120140336,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.8, 'e': 0.5811664141181095}",30,0,-96.1433890912432,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",0
55,False,"{'a': 0.8, 'e': 0.5753547499769285}",25,0,-66.09638643660116,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.5696012024771592}",30,0,-86.38146791489919,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
57,False,"{'a': 0.8, 'e': 0.5639051904523876}",25,0,-107.25544111969094,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
58,False,"{'a': 0.8, 'e': 0.5582661385478638}",20,0,-30.313164390416578,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
59,False,"{'a': 0.8, 'e': 0.5526834771623851}",25,0,-54.283501661892494,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
60,False,"{'a': 0.8, 'e': 0.5471566423907612}",20,0,-54.446206560540304,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.8, 'e': 0.5416850759668536}",20,0,-20.788299554482972,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.8, 'e': 0.536268225207185}",25,0,-151.47229932601246,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 4}",0
63,False,"{'a': 0.8, 'e': 0.5309055429551132}",20,9,15.403788587496951,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.525596487525562}",20,0,-18.32231294845337,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.8, 'e': 0.5203405226503064}",20,0,-20.122026192055948,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
66,False,"{'a': 0.8, 'e': 0.5151371174238033}",25,9,-4.820232891285433,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.5099857462495653}",20,0,-33.834067258567714,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
68,False,"{'a': 0.8, 'e': 0.5048858887870696}",20,0,-101.89600644204553,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
69,False,"{'a': 0.8, 'e': 0.4998370298991989}",25,4,-76.97139917100057,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 1}",1
70,False,"{'a': 0.8, 'e': 0.49483865960020695}",20,0,-75.94703118773963,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
71,False,"{'a': 0.8, 'e': 0.4898902730042049}",25,10,-45.43364481880732,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.8, 'e': 0.48499137027416284}",20,3,-47.429108329382835,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
73,False,"{'a': 0.8, 'e': 0.4801414565714212}",25,18,-13.456989853731255,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.8, 'e': 0.475340042005707}",20,12,12.661421256466898,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.47058664158564995}",25,0,-39.94635053996486,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
76,False,"{'a': 0.8, 'e': 0.4658807751697934}",30,13,-12.21643982374569,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
