trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.06741346029082,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,13,-14.87225532607404,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.66333757048987,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,11,-3.784678134993548,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-28.97598533990681,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-173.44721252300315,"{0: 22, 1: 4, 2: 4, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.48695215622908,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,1,-83.01583921851352,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.04457995645947,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.26004091887876,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,4,-101.08665242113634,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.65884193542708,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.8839128682924,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,3,-36.45974381581385,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.663838330318,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.25988855283252,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.0652334537872,"{0: 7, 1: 4, 2: 8, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-81.3395435910022,"{0: 23, 1: 7, 2: 3, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.68514232641751,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.2847276958314,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-227.0533150411846,"{0: 12, 1: 7, 2: 7, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.66500466735579,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-177.41821837537,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.51066423184776,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.36831374737454,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-171.45487617401994,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.5232296061593,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-189.6232521832063,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-120.21788005525669,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.27275784507015,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
